age_range,lower_age,upper_age,men,women,total
<1,0,1,2002,1933,3935
1-3,1,3,3135,3084,6219
3-5,3,5,2823,2827,5650
5-7,5,7,2651,2636,5287
7-10,7,10,3410,3457,6867
10-15,10,15,5196,5059,10255
15-20,15,20,6169,6460,12629
20-25,20,25,9173,7579,16752
25-30,25,30,7896,8059,15955
30-35,30,35,6691,7097,13788
35-40,35,40,5657,6155,11812
40-45,40,45,3974,4417,8391
45-50,45,50,3258,3896,7154
50-55,50,55,2686,3454,6140
55-60,55,60,1879,2595,4474
60-65,60,65,1273,2018,3291
65-70,65,70,833,1530,2363
70-75,70,75,486,970,1456
75-80,75,80,227,568,795
80-85,80,85,69,205,274
85-90,85,90,18,71,89
90-95,90,95,3,9,12
95-100,95,100,2,1,3
