Street1;quarter;pop 1855;pop_1850
Springgade;Rosenborg;1426;1480
Sqvaldergade;Øster;251;100
St. Annægade;Christianshavn;836;681
St. Annæplads;St. Annæ Øster;233;345
St. Gjertrudstræde;Klædebo;143;na
St. Gjertrudstræde;Rosenborg;232;na
St. Pederstræde;Nørre;2045;2023
Steenkulsgade;St. Annæ Vester;300;na
Store Brøndstræde;Rosenborg;330;381
Store Fiolstræde;Klædebo;1093;1051
Store Grønnegade;Kjøbmager;1159;1170
Store Kannikestræde;Klædebo;494;533
Store Kirkestræde;Øster;110;92
Store Kjøbmagergade;Klædebo;42;na
Store Kjøbmagergade;Frimands;756;na
Store Kjøbmagergade;Kjøbmager;513;na
Store Kjøbmagergade;Rosenborg;253;na
Store Kongensgade;St. Annæ Øster;2184;na
Store Kongensgade;St. Annæ Vester;2146;na
Store Kongensgade ;Christianshavn;965;761
Store Larsbjørnstræde;Nørre;536;527
Store Regnegade;Kjøbmager;538;510
Store Strandstræde;St. Annæ Øster;549;582
Store Torvegade;Christianshavn;924;973
Stormgade;Vester;748;706
Strandgade;Christianshavn;1401;1243
Studiestræde;Nørre;1879;1828
Svanegade;Nyboder;300;303
Sværtegade;Kjøbmager;172;175
Sølvgade;St. Annæ Vester;1665;1476
Søndervoldstræde;;297;398
Teglgaardstræde;Nørre;990;1048
Tigergade;Nyboder;190;193
Timiansgade;Nyboder;140;132
Toldbodgade;St. Annæ Øster;649;492
Toldbodplads;St. Annæ Øster;228;
Toldbodvein;St. Annæ Øster;753;562
Tornebuskegade;Klædebo;212;295
Trompetergangen;Frimands;159;142
Tulipangade;Nyboder;206;161
Tøihuusgade;;106;251
Ulvegade;Nyboder;225;299
Vandkunsten;Vester;256;254
Ved Amagerport;;6;0
Ved Langebro;;98;na
Ved Volden;;11;0
Ved Østerport;;6;0
Vestergade;Vester;425;na
Vestergade;Nørre;539;na
Vesterports Ravelin;;14;0
Vestervold;Nørre;366;346
Viingaardstræde;Øster;723;830
Vimmelskaftet;Frimands;762;842
Vognmagergade;Rosenborg;1608;1635
Østergade;Øster;725;na
Østergade;Kjøbmager;1013;na
Østerports Ravelin;;7;0
Østervold;;1264;729
Aabenraa;Rosenborg;1524;1638
